JTAG UART link established using cable "USB-Blaster [USB-0]", device 1, instance 0x00
=== CALIBRATION DES CAPTEURS ===
1. Posez le robot sur le BLANC.
2. Regardez les valeurs.
3. Posez le robot sur le NOIR.
--------------------------------
C0: 22 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 20
C0: 28 | C1: 13 | C2: 14 | C3: 17 | C4: 14 | C5: 13 | C6: 29
C0: 25 | C1: 13 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 24
C0: 28 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 25
C0: 26 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 24
C0: 30 | C1: 13 | C2: 14 | C3: 19 | C4: 15 | C5: 13 | C6: 30
C0: 31 | C1: 14 | C2: 16 | C3: 20 | C4: 14 | C5: 14 | C6: 33
C0: 30 | C1: 14 | C2: 15 | C3: 19 | C4: 14 | C5: 13 | C6: 31
C0: 28 | C1: 14 | C2: 15 | C3: 19 | C4: 14 | C5: 13 | C6: 30
C0: 20 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 20 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 20 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 20 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 20 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 20 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
JTAG UART link established using cable "USB-Blaster [USB-0]", device 1, instance 0x00
=== CALIBRATION DES CAPTEURS ===
1. Posez le robot sur le BLANC.
2. Regardez les valeurs.
3. Posez le robot sur le NOIR.
--------------------------------
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 63 | C1: 49 | C2: 49 | C3: 50 | C4: 47 | C5: 49 | C6: 63
C0: 26 | C1: 15 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 26
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 37 | C1: 18 | C2: 21 | C3: 24 | C4: 19 | C5: 17 | C6: 40
C0: 34 | C1: 15 | C2: 18 | C3: 22 | C4: 16 | C5: 15 | C6: 37
C0: 37 | C1: 18 | C2: 22 | C3: 27 | C4: 21 | C5: 20 | C6: 42
C0: 40 | C1: 22 | C2: 25 | C3: 28 | C4: 22 | C5: 20 | C6: 40
C0: 41 | C1: 23 | C2: 25 | C3: 28 | C4: 22 | C5: 20 | C6: 40
C0: 41 | C1: 23 | C2: 25 | C3: 28 | C4: 22 | C5: 20 | C6: 40
C0: 41 | C1: 22 | C2: 25 | C3: 28 | C4: 22 | C5: 19 | C6: 39
C0: 40 | C1: 22 | C2: 25 | C3: 28 | C4: 22 | C5: 19 | C6: 40
C0: 41 | C1: 23 | C2: 25 | C3: 28 | C4: 22 | C5: 20 | C6: 40
C0: 40 | C1: 20 | C2: 23 | C3: 26 | C4: 19 | C5: 16 | C6: 36
C0: 25 | C1: 13 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 41 | C1: 22 | C2: 24 | C3: 27 | C4: 21 | C5: 20 | C6: 40
C0: 41 | C1: 21 | C2: 24 | C3: 27 | C4: 21 | C5: 20 | C6: 40
C0: 42 | C1: 23 | C2: 25 | C3: 27 | C4: 22 | C5: 20 | C6: 40
C0: 42 | C1: 23 | C2: 26 | C3: 28 | C4: 22 | C5: 22 | C6: 41
C0: 43 | C1: 24 | C2: 26 | C3: 28 | C4: 24 | C5: 21 | C6: 41
C0: 43 | C1: 24 | C2: 26 | C3: 29 | C4: 22 | C5: 20 | C6: 40
C0: 43 | C1: 25 | C2: 26 | C3: 28 | C4: 22 | C5: 20 | C6: 40
C0: 45 | C1: 25 | C2: 26 | C3: 28 | C4: 22 | C5: 21 | C6: 41
C0: 44 | C1: 26 | C2: 27 | C3: 29 | C4: 23 | C5: 21 | C6: 42
C0: 45 | C1: 26 | C2: 28 | C3: 31 | C4: 24 | C5: 23 | C6: 42
C0: 42 | C1: 23 | C2: 26 | C3: 29 | C4: 23 | C5: 22 | C6: 41
C0: 42 | C1: 22 | C2: 25 | C3: 28 | C4: 22 | C5: 21 | C6: 41
C0: 41 | C1: 22 | C2: 25 | C3: 28 | C4: 22 | C5: 20 | C6: 40
C0: 41 | C1: 21 | C2: 24 | C3: 27 | C4: 21 | C5: 19 | C6: 40
C0: 42 | C1: 23 | C2: 26 | C3: 29 | C4: 23 | C5: 22 | C6: 42
C0: 43 | C1: 24 | C2: 27 | C3: 29 | C4: 24 | C5: 23 | C6: 44
C0: 30 | C1: 13 | C2: 14 | C3: 17 | C4: 13 | C5: 12 | C6: 27
C0: 27 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 24
C0: 26 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 24
C0: 24 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 24
C0: 26 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 25
C0: 24 | C1: 13 | C2: 14 | C3: 15 | C4: 13 | C5: 12 | C6: 24
C0: 23 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 24
C0: 21 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 17
C0: 22 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 20
C0: 21 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 20
C0: 19 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 20
C0: 16 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 19
C0: 27 | C1: 13 | C2: 13 | C3: 16 | C4: 13 | C5: 12 | C6: 29
C0: 22 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 19 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 18
C0: 16 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 17
C0: 19 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 21
C0: 20 | C1: 12 | C2: 13 | C3: 13 | C4: 12 | C5: 12 | C6: 19
C0: 18 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 17
C0: 19 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 20
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 20
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 19
C0: 21 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 20
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 18
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 18
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 18
C0: 21 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 19
C0: 25 | C1: 13 | C2: 13 | C3: 14 | C4: 13 | C5: 12 | C6: 24
C0: 29 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 25
C0: 45 | C1: 26 | C2: 28 | C3: 30 | C4: 25 | C5: 27 | C6: 46
C0: 44 | C1: 25 | C2: 27 | C3: 30 | C4: 25 | C5: 23 | C6: 42
C0: 44 | C1: 25 | C2: 27 | C3: 30 | C4: 25 | C5: 24 | C6: 43
C0: 35 | C1: 16 | C2: 20 | C3: 23 | C4: 17 | C5: 15 | C6: 36
C0: 26 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 25
